line         score     log(score)
 avg  4.922996e-11     -23.734519
 tot  0.000000e+00 -688301.042368

  line         score  log(score)
   669  3.732070e-10  -21.708888
   670  6.222863e-05   -9.684695
   671  1.037209e-05  -11.476392
   672  2.138676e-11  -24.568249
   673  3.063276e-05  -10.393440
   674  1.361376e-16  -36.532866
   675  2.630694e-12  -26.663773
   676  1.917613e-11  -24.677355
   677  2.953205e-08  -17.337790
   678  1.501145e-12  -27.224793
   679  1.451893e-04   -8.837472
   680  6.967861e-14  -30.294883
   681  1.962030e-12  -26.957041
   682  2.386624e-11  -24.458556
   683  7.763992e-07  -14.068599
   684  1.175989e-08  -18.258571
   685  1.836936e-17  -38.535847
   686  3.251068e-02   -3.426187
   687  8.298162e-03   -4.791721
   688  1.648607e-16  -36.341431
   689  9.786510e-10  -20.744846
   690  9.981799e-14  -29.935428
   691  4.230827e-13  -28.491209
   692  1.752778e-10  -22.464649
   693  2.719981e-03   -5.907130
   694  8.949776e-20  -43.860073
   695  2.545827e-11  -24.393980
   696  1.582845e-20  -45.592478
   697  1.084877e-08  -18.339214
   698  3.358025e-03   -5.696402
   699  2.315069e-01   -1.463146
   700  5.467626e-08  -16.721836
   701  3.159602e-04   -8.059894
   702  1.487314e-08  -18.023709
   703  8.396357e-13  -27.805808
   704  2.146406e-02   -3.841375
   705  2.195346e-11  -24.542096
   706  1.294704e-06  -13.557228
   707  1.662129e-12  -27.122922
   708  6.293904e-08  -16.581099
   709  1.391183e-18  -41.116377
   710  2.752822e-06  -12.802884
   711  1.283755e-06  -13.565722
   712  1.954467e-11  -24.658318
   713  3.649328e-08  -17.126138
   714  8.097516e-19  -41.657559
   715  4.300040e-06  -12.356886
   716  7.510259e-20  -44.035432
   717  2.380260e-12  -26.763811
   718  3.214630e-10  -21.858139
   719  3.410157e-05  -10.286167
   720  4.398950e-08  -16.939315
   721  1.039666e-11  -25.289536
   722  3.431838e-11  -24.095340
   723  6.064782e-09  -18.920767
   724  2.170376e-04   -8.435440
   725  3.413988e-02   -3.377289
   726  4.561115e-15  -33.021209
   727  1.402055e-19  -43.411178
   728  2.011872e-10  -22.326785
   729  6.737235e-06  -11.907861
   730  8.587040e-10  -20.875597
   731  6.794861e-05   -9.596759
   732  1.309923e-03   -6.637787
   733  1.213310e-03   -6.714403
   734  2.443719e-20  -45.158181
   735  4.301995e-09  -19.264187
   736  1.741267e-10  -22.471238
   737  1.160513e-07  -15.969234
   738  4.975820e-07  -14.513505
   739  9.386293e-11  -23.089186
   740  7.941618e-11  -23.256319
   741  1.407698e-12  -27.289066
   742  1.156588e-19  -43.603642
   743  4.298620e-04   -7.752046
   744  5.596933e-15  -32.816558
   745  8.408838e-06  -11.686227
   746  1.409384e-07  -15.774943
   747  3.772507e-10  -21.698111
   748  2.861841e-08  -17.369215
   749  2.162979e-05  -10.741439
   750  7.542489e-15  -32.518224
   751  3.714204e-03   -5.595591
   752  9.266118e-03   -4.681391
   753  6.104432e-14  -30.427176
   754  2.911087e-17  -38.075420
   755  1.285608e-09  -20.472034
   756  3.139972e-04   -8.066127
   757  4.504517e-12  -26.125940
   758  2.098002e-06  -13.074525
   759  7.035884e-17  -37.192923
   760  5.087061e-23  -51.332757
   761  6.265805e-04   -7.375233
   762  9.999782e-09  -18.420703
   763  8.552240e-08  -16.274488
   764  3.285437e-14  -31.046692
   765  1.421680e-04   -8.858501
   766  1.760212e-04   -8.644906
   767  8.682226e-09  -18.561988
   768  1.558417e-03   -6.464085
   769  6.549489e-03   -5.028368
   770  2.525842e-14  -31.309617
   771  1.792315e-02   -4.021662
   772  1.252271e-10  -22.800892
   773  1.631296e-12  -27.141647
   774  2.896182e-09  -19.659873
   775  4.863934e-05   -9.931078
   776  1.234725e-04   -8.999492
   777  1.488218e-04   -8.812761
   778  7.806400e-11  -23.273492
   779  3.480732e-06  -12.568268
   780  1.157102e-08  -18.274762
   781  2.298849e-10  -22.193442
   782  5.546229e-12  -25.917903
   783  1.086582e-05  -11.429888
   784  2.253133e-09  -19.910944
   785  2.186951e-06  -13.033002
   786  5.029641e-10  -21.410502
   787  3.241889e-04   -8.034184
   788  2.177301e-26  -59.089126
   789  3.181506e-05  -10.355571
   790  2.293509e-06  -12.985427
   791  6.506745e-13  -28.060767
   792  1.698094e-13  -29.404100
   793  2.082165e-04   -8.476932
   794  1.675375e-10  -22.509814
   795  9.949065e-07  -13.820617
   796  9.532259e-19  -41.494435
   797  1.784034e-11  -24.749559
   798  1.274237e-09  -20.480918
   799  8.771332e-05   -9.341437
   800  2.452990e-13  -29.036299
